#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
2936,WASP-52,000-BLD-637,2459534.692342,12.2001,0.0101,False,Unfiltered with V Zeropoint,CCD,KADB,1.185,False
2937,WASP-52,000-BLD-637,2459534.694342,12.2219,0.0101,False,Unfiltered with V Zeropoint,CCD,KADB,1.192,False
2938,WASP-52,000-BLD-637,2459534.696343,12.1972,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.199,False
2939,WASP-52,000-BLD-637,2459534.698343,12.1974,0.0100,False,Unfiltered with V Zeropoint,CCD,KADB,1.205,False
2940,WASP-52,000-BLD-637,2459534.700343,12.1907,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.213,False
2941,WASP-52,000-BLD-637,2459534.702343,12.1926,0.0100,False,Unfiltered with V Zeropoint,CCD,KADB,1.220,False
2942,WASP-52,000-BLD-637,2459534.704343,12.1681,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.228,False
2943,WASP-52,000-BLD-637,2459534.706344,12.1708,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.236,False
2944,WASP-52,000-BLD-637,2459534.708344,12.1618,0.0096,False,Unfiltered with V Zeropoint,CCD,KADB,1.244,False
2945,WASP-52,000-BLD-637,2459534.711344,12.1593,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.257,False
2946,WASP-52,000-BLD-637,2459534.713344,12.156,0.0096,False,Unfiltered with V Zeropoint,CCD,KADB,1.266,False
2947,WASP-52,000-BLD-637,2459534.715344,12.2028,0.0100,False,Unfiltered with V Zeropoint,CCD,KADB,1.275,False
2948,WASP-52,000-BLD-637,2459534.717344,12.1691,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.285,False
2949,WASP-52,000-BLD-637,2459534.719345,12.1851,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.295,False
2950,WASP-52,000-BLD-637,2459534.721345,12.2027,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.305,False
2951,WASP-52,000-BLD-637,2459534.723345,12.2219,0.0101,False,Unfiltered with V Zeropoint,CCD,KADB,1.315,False
2952,WASP-52,000-BLD-637,2459534.725345,12.2007,0.0103,False,Unfiltered with V Zeropoint,CCD,KADB,1.326,False
2953,WASP-52,000-BLD-637,2459534.727345,12.2196,0.0100,False,Unfiltered with V Zeropoint,CCD,KADB,1.338,False
2954,WASP-52,000-BLD-637,2459534.729345,12.2127,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.350,False
2955,WASP-52,000-BLD-637,2459534.733346,12.1843,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.374,False
2956,WASP-52,000-BLD-637,2459534.736346,12.2045,0.0101,False,Unfiltered with V Zeropoint,CCD,KADB,1.394,False
2957,WASP-52,000-BLD-637,2459534.738346,12.1588,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.408,False
2958,WASP-52,000-BLD-637,2459534.744347,12.1751,0.0096,False,Unfiltered with V Zeropoint,CCD,KADB,1.452,False
2959,WASP-52,000-BLD-637,2459534.748347,12.1679,0.0096,False,Unfiltered with V Zeropoint,CCD,KADB,1.484,False
2960,WASP-52,000-BLD-637,2459534.752347,12.1578,0.0094,False,Unfiltered with V Zeropoint,CCD,KADB,1.518,False
2961,WASP-52,000-BLD-637,2459534.754348,12.1715,0.0096,False,Unfiltered with V Zeropoint,CCD,KADB,1.536,False
2962,WASP-52,000-BLD-637,2459534.756348,12.1837,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.554,False
2963,WASP-52,000-BLD-637,2459534.758348,12.1625,0.0095,False,Unfiltered with V Zeropoint,CCD,KADB,1.574,False
2964,WASP-52,000-BLD-637,2459534.761348,12.1692,0.0096,False,Unfiltered with V Zeropoint,CCD,KADB,1.604,False
2965,WASP-52,000-BLD-637,2459534.763348,12.2063,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.625,False
2966,WASP-52,000-BLD-637,2459534.765349,12.1978,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.647,False
2967,WASP-52,000-BLD-637,2459534.767349,12.1909,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.670,False
2968,WASP-52,000-BLD-637,2459534.769349,12.2042,0.0100,False,Unfiltered with V Zeropoint,CCD,KADB,1.694,False
2969,WASP-52,000-BLD-637,2459534.771349,12.182,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.718,False
2970,WASP-52,000-BLD-637,2459534.773349,12.1926,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.744,False
2971,WASP-52,000-BLD-637,2459534.775349,12.1889,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.770,False
