JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457270.49861,12.236,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.383,-7.966,,WASP-52,AAVSO,STD,0,,,
2457270.49938,12.230,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.371,-7.958,,WASP-52,AAVSO,STD,0,,,
2457270.50015,12.222,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.366,-7.961,,WASP-52,AAVSO,STD,0,,,
2457270.50091,12.245,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.380,-7.964,,WASP-52,AAVSO,STD,0,,,
2457270.50168,12.226,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.390,-7.975,,WASP-52,AAVSO,STD,0,,,
2457270.50245,12.238,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.400,-7.985,,WASP-52,AAVSO,STD,0,,,
2457270.50322,12.239,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.419,-7.978,,WASP-52,AAVSO,STD,0,,,
2457270.50398,12.240,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.376,-7.958,,WASP-52,AAVSO,STD,0,,,
2457270.50476,12.233,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.377,-7.966,,WASP-52,AAVSO,STD,0,,,
2457270.50552,12.226,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.357,-7.937,,WASP-52,AAVSO,STD,0,,,
2457270.50782,12.225,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.352,-7.957,,WASP-52,AAVSO,STD,0,,,
2457270.50860,12.254,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.265,-7.807,,WASP-52,AAVSO,STD,0,,,
2457270.50936,12.244,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.373,-7.947,,WASP-52,AAVSO,STD,0,,,
2457270.51013,12.234,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.356,-7.935,,WASP-52,AAVSO,STD,0,,,
2457270.51090,12.244,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.359,-7.953,,WASP-52,AAVSO,STD,0,,,
2457270.51167,12.236,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.352,-7.948,,WASP-52,AAVSO,STD,0,,,
2457270.51244,12.227,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.358,-7.951,,WASP-52,AAVSO,STD,0,,,
2457270.51321,12.237,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.362,-7.939,,WASP-52,AAVSO,STD,0,,,
